able	unable
univalve; single-shelled	bivalve, bivalved; lamellibranch, pelecypod, pelecypodous
ascending; up; ascendant, ascendent, ascensive; assurgent; acclivitous, rising, uphill; assurgent; up, upward; scandent; highflying	descending; dropping, falling; degressive; descendent, descendant; downward-sloping, declivitous, downhill; downward, down; drizzling; downward-arching; down; raining
rising; up, improving	falling; soft; down
climactic	anticlimactic
upmarket; upscale	downmarket; downscale
transitive	intransitive
translatable	untranslatable
hoofed, ungulate, hooved, ungulated; solid-hoofed	unguiculate, unguiculated; clawlike; clawed
up; upbound; sprouted; upfield; dormie, dormy; risen; ascending; upward; in the lead, ahead, leading; skyward, heavenward; aweigh; high	down; downfield; set; downcast; fallen; behind; downbound; descending; low; thrown; downward; weak
upstage	downstage
upstair, upstairs	downstair, downstairs; ground-floor
upstream	downstream
uptown	downtown
used; in use; utilised, utilized	misused; exploited, victimised, used, ill-used, put-upon, victimized; abused
useful, utile; expedient; usable, useable; serviceable; multipurpose; serviceable; utilitarian; recyclable, reclaimable, reusable; profitable; effectual, efficacious, effective; helpful; utilizable	useless; unprofitable; unusable, unuseable, unserviceable; unserviceable; inutile; ineffectual, uneffective, ineffective; ineffectual, unavailing, otiose, futile
utopian; Laputan, impractical, visionary, airy, windy; perfect	dystopian
valid; legal, effectual, sound; binding; logical, legitimate; well-grounded, reasoned, sound; validated; legitimate; reasonable, sensible	invalid; false; void, null; illegitimate; sophistical, sophistic; bad, uncollectible; fallacious, unsound; nullified, invalidated
valuable; semiprecious; worth; of import, important; priceless, invaluable; rich; worthy; blue-chip; precious; expensive	worthless; unworthy; good-for-naught, sorry, no-count, good-for-nothing, no-account, no-good, meritless; chaffy; nugatory; negligible, trifling, paltry; tinpot; valueless; manky; rubbishy, trashy; wasted, purposeless, superfluous, senseless, pointless, otiose
variable; multivariate; inconsistent; changeable, uncertain, unsettled; variant; versatile; protean; inconstant; shifting; covariant	invariable; constant; invariant; changeless, constant, unvarying, invariant; hard-and-fast, strict; consistent
varied; variable, varying; variform; different; varicoloured, variegated, varicolored; versatile, various; omnifarious; modified; miscellaneous, multifaceted, many-sided, multifarious; heterogenous, heterogeneous	unvaried, unvarying; same
veiled	unveiled; undraped; disclosed
ventilated; aired, airy; vented; louvered	unventilated; fuggy; breathless, dyspnoeic, dyspneic, dyspnoeal, dyspneal; unaerated, unoxygenated; close, unaired, airless, stuffy; unvented
vertebrate	invertebrate, spineless
violable	inviolable; unassailable, untouchable
violent; lashing; hostile; knock-down-and-drag-out, knockdown-dragout; convulsive; lurid; rampageous; ruffianly, tough; unpeaceful; hot, raging; savage, furious, ferocious, fierce; slam-bang	nonviolent; passive, peaceful; peaceable, peaceful; unprovocative, unprovoking
virtuous; impeccant, innocent, sinless; righteous; good; moral; pious; impeccable; chaste	wicked; vicious, evil; heavy; iniquitous, ungodly, sinful; nefarious, villainous; impious; wrong; heinous, flagitious; unrighteous; peccant, peccable; irredeemable, unreformable, irreclaimable, unredeemable; evil; immoral
seeable, visible; viewable; panoptic, panoptical; gross, megascopic; microscopical, microscopic; circumpolar; in sight; perceptible; macroscopic, macroscopical; telescopic; subgross; visual, ocular	invisible, unseeable; unperceivable, imperceptible; undetectable; unseeyn; lightless; nonvisual; ultraviolet; camouflaged; hidden, concealed, out of sight; covert; occult; infrared
live-bearing, viviparous	ovoviviparous
live-bearing, viviparous	oviparous; broody
oviparous; broody	ovoviviparous
volatile; vapourific, vapourisable, volatilisable, evaporable, vaporizable, vaporific, volatilizable; inconstant	nonvolatile, nonvolatilisable, nonvolatilizable
voluntary; intended; self-imposed; wilful, willful; freewill; willing, unforced, uncoerced; willing; volunteer, unpaid; conscious	involuntary, unvoluntary, nonvoluntary; goaded, driven; unconscious; unconscious; forced; unwilling; unwilling; unwilled
voluntary	involuntary; vegetative; autonomic; automatic, reflex, reflexive
vulnerable; unprotected; insecure, unsafe; endangered; dangerous, unsafe; unguarded; penetrable; defenceless, defenseless; conquerable; indefensible; under fire, under attack; susceptible; threatened; open, undefended, undefendable, assailable; insecure, unsafe; compromising	invulnerable; entrenched; unconquerable; secure; safe; untouchable; airtight, air-tight; tight; sheltered; shellproof, bombproof; defensible, defendable; strong, impregnable, inviolable, unassailable, secure, unattackable; protected
wanted; yearned-for, longed-for, wished-for; craved, desired; hot; desirable; welcome; sought-after, sought; loved	unwanted; undesired, unsought; unloved; thrown-away, discarded, cast-off, throwaway; unclaimed; abdicable; uncalled-for; friendless, outcast; undesirable, unwanted; unwelcome; casteless, outcaste; unwished-for, unwished, unwelcome
warm; lukewarm, tepid; warmed; warming; hot	cool; water-cooled; air-cooled; caller; cold; air-conditioned; precooled
warm; emotional; cordial; friendly; hearty	cool; unemotional; cold; unagitated; unfriendly; unresponsive
warm; hot	cool; cold
warm-blooded; homeothermic, homoiothermic, homothermic	cold-blooded; ectothermic, heterothermic, poikilothermous, poikilothermic
warmhearted; loving	coldhearted; unloving; brittle
washable; wash-and-wear, drip-dry	nonwashable
waxed	unwaxed
waxing	waning
increasing; accretionary; progressive; profit-maximizing, profit-maximising; incorporative; augmentative; maximizing, maximising; raising; accretive; accelerative, acceleratory; multiplicative	decreasing; depreciatory, depreciating, depreciative; diminishing; falling; detractive; dwindling, tapering, tapering off
increasing; crescendo; accelerando	decreasing; calando; allargando; diminuendo, decrescendo; rallentando, ritardando, ritenuto, rit.
inflationary	deflationary
weaned	unweaned
wearable	unwearable
weedy	weedless
welcome; wanted	unwelcome; unwanted; uninvited
well; asymptomatic, symptomless; healed, recovered, cured; fit; healthy	ill, sick; sick, sickish, nauseated, nauseous, queasy; poorly, unwell, seedy, indisposed, sickly, ailing, peaked, under the weather; livery, liverish, bilious; tuberculous, tubercular; unhealthy; diabetic; gouty; stricken, afflicted; lightheaded, faint, swooning, light, light-headed; spastic; paralytic, paralyzed; bedfast, sick-abed, bedridden, bedrid; delirious, hallucinating; funny; laid up; carsick, air sick, airsick, seasick; unfit; palsied; green; upset; milk-sick; feverous, feverish; paraplegic; consumptive; scrofulous; laid low, stricken; sneezy; recovering, convalescent; dizzy, giddy, woozy, vertiginous; rachitic, rickety; dyspeptic; autistic; bronchitic; unhealed; aguish
wet; besprent; undried; washed; steamy, muggy, sticky; sodden, soppy; watery; rheumy; clammy, dank; humid; tacky; sloppy, mucky, sloughy, swampy, boggy, miry, quaggy, marshy, soggy, squashy, muddy, waterlogged; rainy, showery; dampish, moist, damp; watery, reeking; misty; drizzly, drippy; sticky; bedewed, dewy; sloppy; steamy, steaming	dry; air-dried; air-dry; rainless; dry-shod; baked, scorched, parched, sunbaked, adust; semiarid; dried-up, withered, shrivelled, shriveled, sere, sear; thirsty; dried; kiln-dried; semi-dry; arid, waterless; bone-dry, bone dry; dried-up; dried-out, desiccated
lactating, wet; fresh	dry; milkless
wet	dry
wet	dry
hydrated, hydrous	anhydrous
wheeled	wheelless
white-collar; clerical; skilled; professional; pink-collar	blue-collar; industrial; manual; unskilled; wage-earning, working-class
wholesome; good for you, healthy, salubrious; salubrious; healthful; sound; heart-healthy; satisfying, hearty, square, substantial, solid; alimentary, nourishing, nutritious, nutritive, alimental, nutrient; organic; healthy	unwholesome; harmful; unhealthy; vile, offensive, sickening, nauseous, queasy, nauseating, noisome, loathsome; unsound; unhealthy, insalubrious, unhealthful; noxious; morbid; rich; jejune, insubstantial; unhealthful
broad, wide; comprehensive; broad-brimmed; thick; wide-screen; fanlike; beamy; deep; sweeping; bird's-eye, panoramic	narrow; slender, thin; narrow-mouthed; thin; constricting, narrowing, constrictive; narrowed; strait; limited; straplike; narrowing, tapering, tapered; narrow, narrow-minded
wide; comfortable	narrow; bare, marginal
wieldy	unmanageable, unwieldy; cumbersome, cumbrous; bunglesome, clumsy, ungainly, awkward
wigged; toupeed; periwigged, peruked	wigless
willing; willing and able; voluntary; volitional; inclined; disposed, prepared, fain, inclined; ready; happy, glad; consenting; compliant; ready	unwilling; grudging; loth, loath, reluctant; unwilled, unintentional; disinclined; involuntary, unvoluntary, nonvoluntary; noncompliant, defiant
winged; volant; one-winged; pinioned; slender-winged; batwing; small-winged; alary, wing-shaped, aliform, alar; alate, alated; winglike; brachypterous, short-winged	wingless; apterous, apteral; flightless
wired; connected; bugged	wireless
wise; politic; prudent; well-advised, advised; sapiential; omniscient, all-knowing; perspicacious, sapient, sagacious; owlish; advisable; sage	foolish; zany, whacky, goofy, silly, sappy, cockamamie, wacky, cockamamy; ill-advised, unadvised; fond; insane, mad, harebrained; unwise; scatterbrained, rattlebrained, rattlepated, scatty; inadvisable, unadvisable; misguided, ill-conceived; impolitic; inane, fatuous, mindless, asinine, vacuous; ludicrous, laughable, preposterous, ridiculous, idiotic, cockeyed, derisory, nonsensical, absurd; imprudent
wooded; bosky, brushy; jungly; arboreous, woodsy, woody, arboraceous; woodsy; braky, brambly; thicket-forming; timbered; forested; uncleared; overgrown; scrubby, scrabbly; rushy; sylvan, silvan	treeless, unwooded; unforested; cleared; untimbered
woody; ligneous; ashen; oaken; suffrutescent; cedarn; beechen; wooden; birken, birchen, birch	nonwoody; herbaceous; pulpy, squashy
secular, temporal, worldly; material; terrestrial, mundane; worldly-minded, materialistic, mercenary; secular, profane; economic; earthly; sophisticated	unworldly; naive, naif; hermitical, hermitic, anchoritic, eremitic, eremitical; spiritual, unearthly; pious; monastic, monastical, conventual, cloistral, cloistered; unmercenary
woven; braided; plain-woven	unwoven; knitted; felted
worn; wormy, worm-eaten, vermiculate; attrited; well-worn; tattered, tatterdemalion; scoured, eroded; mothy, moth-eaten; dog-eared, eared; frayed; mangey, mangy; shopworn, shopsoiled; old; weatherworn, weather-beaten, weathered; raddled, worn-out; played out; tatty, moth-eaten, ratty, shabby; ragged; derelict, decrepit, run-down, flea-bitten, woebegone, creaky; clapped out; threadbare; battered; waterworn; aged; thumbed; seedy, scruffy	new; unweathered
worthy; valuable; righteous; sacred; notable, noteworthy; estimable; honourable, honorable; model, exemplary; good; cum laude; worthful, valuable; quotable; valued, precious; laudable, commendable, praiseworthy, applaudable; worth, deserving; worthwhile; creditable; meritorious, meritable; magna cum laude; summa cum laude	unworthy; contemptible; unmerited; unmeritorious; unrighteous; unworthy, undeserving; worthless; dishonourable, dishonorable
xeric; xerophytic	hydric; hygrophytic; hydrophytic
xeric; xerophytic	mesic; mesophytic
hydric; hygrophytic; hydrophytic	mesic; mesophytic
zonal	azonal; azonic
acrocarpous	pleurocarpous
cursorial	fossorial
homocercal	heterocercal
webbed; palmate	unwebbed
faceted	unfaceted
ipsilateral	contralateral
salient	re-entrant, reentrant
proactive	retroactive
rh-positive	rh-negative
categorematic; autosemantic	syncategorematic; synsemantic
idiographic	nomothetic
pro-choice	pro-life
baptised, baptized	unbaptised, unbaptized
benign	malignant; cancerous
calcicolous	calcifugous
invertible	non-invertible
immunocompetent	immunodeficient
allogeneic	xenogeneic
long-spurred	short-spurred
shelled; hard-shelled; spiral-shelled; smooth-shelled; thin-shelled	shell-less, unshelled
jawed; square-jawed; long-jawed	jawless
skinned; smooth-skinned; velvety-skinned	skinless
flowering	flowerless, nonflowering; spore-bearing
abient	adient
alphabetic, alphabetical	analphabetic
anodal, anodic	cathodic
autophytic, autotrophic	heterotrophic
bracteate, bracted	ebracteate
extracellular	intracellular
cenobitic, cenobitical, coenobitic, coenobitical	eremitic, eremitical
cenogenetic	palingenetic
chromatinic	achromatinic
directional	omnidirectional
cacogenic, dysgenic	eugenic
febrile, feverish	afebrile
fictional	nonfictional
fretted	unfretted
